"sim_date","hospital_admissions","hospital_load","cumulative_hospital_admissions","cases_0_9","cases_10_19","cases_20_29","cases_30_39","cases_40_49","cases_50_59","cases_60_69","cases_70_79","cases_80_89","cases_90_","cases","covid19_tests"
"2020-03-01",NA,NA,NA,0,3,1,1,5,3,1,1,0,0,15,56
"2020-03-02",NA,NA,NA,0,2,1,0,4,3,2,1,0,0,13,268
"2020-03-03",NA,NA,NA,1,4,5,4,9,4,1,5,0,0,33,472
"2020-03-04",NA,NA,NA,3,8,6,5,8,6,7,2,1,1,47,646
"2020-03-05",NA,NA,NA,3,5,8,8,8,12,4,3,0,0,51,702
"2020-03-06",NA,NA,NA,2,7,8,10,14,14,6,6,3,1,71,1024
"2020-03-07",NA,NA,NA,0,2,2,4,6,4,2,2,1,0,23,401
"2020-03-08",NA,NA,NA,0,5,6,6,7,10,6,5,2,1,48,411
"2020-03-09",NA,NA,NA,2,4,7,6,18,11,8,2,5,1,64,510
"2020-03-10",NA,NA,NA,1,4,6,8,15,12,7,6,1,1,61,677
"2020-03-11",NA,NA,NA,4,8,11,14,17,16,9,6,8,6,99,911
"2020-03-12",NA,NA,NA,3,5,14,14,20,16,15,12,12,5,116,1262
"2020-03-13",NA,NA,NA,4,5,19,20,21,20,15,12,15,5,136,2103
"2020-03-14",NA,NA,NA,2,0,12,12,18,16,10,12,12,6,100,1704
"2020-03-15",71,266,71,2,3,10,15,12,15,9,15,15,11,107,1031
"2020-03-16",90,370,161,2,1,14,18,20,18,19,15,18,7,132,1431
"2020-03-17",122,497,283,6,2,17,20,21,17,19,20,19,11,152,1769
"2020-03-18",179,650,462,4,3,19,21,22,22,21,20,18,12,162,2077
"2020-03-19",207,844,669,3,3,21,22,23,24,24,23,21,17,181,2508
"2020-03-20",288,1101,957,5,5,18,22,18,21,21,20,18,12,160,2451
"2020-03-21",320,1384,1277,1,0,15,19,19,22,23,19,20,14,152,1748
"2020-03-22",273,1646,1550,3,1,17,18,21,23,20,21,22,9,155,1069
"2020-03-23",257,1883,1807,9,7,22,23,23,23,22,22,23,18,192,2431
"2020-03-24",412,2140,2219,8,5,21,20,24,21,23,22,22,16,182,2965
"2020-03-25",535,2721,2754,3,6,21,23,21,23,21,21,21,18,178,3243
"2020-03-26",490,3077,3244,5,9,23,24,23,24,23,23,22,13,189,3122
"2020-03-27",575,3650,3819,4,4,20,23,26,24,23,24,20,19,187,3664
"2020-03-28",629,4089,4448,5,6,18,20,22,23,21,20,20,13,168,2906
"2020-03-29",545,4480,4993,3,2,21,18,22,23,19,21,20,13,162,1817
"2020-03-30",478,4897,5471,5,8,22,24,24,24,24,24,24,21,200,2985
"2020-03-31",553,4989,6024,3,10,20,22,23,24,22,21,22,23,190,4585
"2020-04-01",584,5220,6608,6,10,21,23,22,24,24,24,23,21,198,4032
"2020-04-02",568,5383,7176,7,10,24,23,23,26,20,23,25,23,204,4183
"2020-04-03",504,5513,7680,7,6,21,24,25,23,23,24,22,22,197,4473
"2020-04-04",499,5531,8179,3,5,20,21,22,23,21,22,24,21,182,3705
"2020-04-05",358,5620,8537,4,4,18,17,23,23,24,20,24,18,175,2255
"2020-04-06",314,5759,8851,7,9,22,25,24,23,24,24,26,23,207,3758
"2020-04-07",490,5715,9341,5,10,23,22,24,24,22,23,24,23,200,4997
"2020-04-08",459,5616,9800,10,6,22,22,23,21,21,23,24,21,193,5074
"2020-04-09",462,5636,10262,8,11,25,22,24,24,24,24,23,22,207,5090
"2020-04-10",421,5663,10683,3,13,24,23,25,24,22,21,23,22,200,5636
"2020-04-11",393,5437,11076,0,8,21,19,22,21,22,20,22,19,174,5764
"2020-04-12",270,5441,11346,1,3,18,15,17,21,17,20,21,16,149,5532
"2020-04-13",242,5554,11588,3,3,17,16,20,20,20,18,21,16,154,5146
"2020-04-14",250,5532,11838,3,7,23,21,23,24,22,23,24,21,191,5489
"2020-04-15",310,5331,12148,2,12,23,23,24,23,23,23,24,22,199,7045
"2020-04-16",320,5181,12468,6,12,22,23,23,22,21,23,25,23,200,6726
"2020-04-17",303,5088,12771,2,8,21,20,22,22,24,25,24,23,191,7889
"2020-04-18",265,4892,13036,4,6,18,16,21,22,17,17,24,17,162,7883
"2020-04-19",232,4940,13268,7,4,12,17,14,14,16,20,20,17,141,5554
"2020-04-20",172,4996,13440,7,8,18,22,22,23,22,22,22,21,187,8637
"2020-04-21",263,4765,13703,5,8,23,20,21,22,20,21,24,21,185,6986
"2020-04-22",211,4527,13914,2,7,19,19,22,22,19,21,21,19,171,12303
"2020-04-23",210,4355,14124,5,6,20,21,19,19,20,21,22,22,175,13432
"2020-04-24",217,4195,14341,1,5,22,21,21,20,19,19,23,18,169,15207
